method,params,P_exact,P_more,U_nominal,U_ordinal,D_bertscore,D_cosine,relative_gain
dpmlm_shap,"{'rho': 0.9, 'epsilon': 50}",0.8995850207140529,0.9408009768009769,0.8,0.5038095196237924,0.08450557255744934,0.13726438212394715,0.01136546037404762
dpmlm_shap,"{'rho': 0.9, 'epsilon': 100}",0.9034196915987238,0.9441744024091849,0.804,0.5107435811291525,0.08304678750038147,0.13508039331436159,0.015649075774250232
dpmlm_shap,"{'rho': 0.9, 'epsilon': 250}",0.9003855320545644,0.9433788838037123,0.808,0.48819566179017304,0.08046803236007691,0.12834033226966857,0.004106766467011247
dpmlm_shap,"{'rho': 0.8, 'epsilon': 10}",0.8765176681427218,0.9136985546199832,0.724,0.4978355726989578,0.10527874422073365,0.17697979450225831,-0.02271986564464301
dpmlm_shap,"{'rho': 0.8, 'epsilon': 25}",0.877308981934566,0.907531609907569,0.736,0.48603969548946135,0.10325120902061462,0.17429211735725403,-0.019834298372732873
dpmlm_shap,"{'rho': 0.8, 'epsilon': 50}",0.8754912108247463,0.9197678481919084,0.76,0.504726875067804,0.09905849814414978,0.1631356122493744,0.0059127669430518726
dpmlm_shap,"{'rho': 0.8, 'epsilon': 100}",0.8925902822780105,0.926896082039136,0.784,0.49345656731688337,0.0948578429222107,0.15400945806503297,0.0028369867221775813
dpmlm_shap,"{'rho': 0.8, 'epsilon': 250}",0.888364377841838,0.926976847405629,0.804,0.4858404335443342,0.08975618743896484,0.14114821481704712,0.013955898274319645
dpmlm_shap,"{'rho': 0.7, 'epsilon': 10}",0.8646025682328852,0.8882755484435289,0.676,0.4722066129136519,0.12129014778137207,0.20773607635498048,-0.05726826341193092
dpmlm_shap,"{'rho': 0.7, 'epsilon': 25}",0.8525291682684747,0.8870882266057579,0.672,0.4762524709426936,0.11697808480262756,0.19903643369674684,-0.05048301005700695
dpmlm_shap,"{'rho': 0.7, 'epsilon': 50}",0.8707500164552796,0.905659019971625,0.712,0.48703140378699916,0.10965091180801391,0.18027014136314393,-0.032278085851695004
dpmlm_shap,"{'rho': 0.7, 'epsilon': 100}",0.885857536674185,0.9136492884892884,0.764,0.4948528563072136,0.10346711850166321,0.16611305809020996,-0.0005229634377034165
dpmlm_shap,"{'rho': 0.7, 'epsilon': 250}",0.8907881731932268,0.9193180659983292,0.804,0.4916773377515335,0.09685001301765442,0.14812665271759035,0.02086728834182039
dpmlm_shap,"{'lambda': 0.9, 'epsilon': 10}",0.8787103195504037,0.9293589273869762,0.576,0.5010908763574442,0.081665132522583,0.16148237252235412,-0.13710112190587387
dpmlm_shap,"{'lambda': 0.9, 'epsilon': 25}",0.8813466785026153,0.9300773809523808,0.62,0.493345885665972,0.0788458366394043,0.15321013832092284,-0.11243642191818048
dpmlm_shap,"{'lambda': 0.9, 'epsilon': 50}",0.8935259100237823,0.9309019748623766,0.652,0.5034638195870529,0.07651540517807007,0.1398736653327942,-0.0884198148122669
dpmlm_shap,"{'lambda': 0.9, 'epsilon': 100}",0.9069054212813804,0.936201840169894,0.688,0.4789621994178906,0.07504932689666748,0.13408793568611144,-0.08956647329899436
dpmlm_shap,"{'lambda': 0.9, 'epsilon': 250}",0.9082240848245456,0.9439825949116272,0.736,0.48805549727776326,0.07369152665138244,0.13000907254219055,-0.05266840290267505
dpmlm_shap,"{'lambda': 0.5, 'epsilon': 10}",0.8713491810270529,0.9241817923077135,0.472,0.4835750532447242,0.08714312791824341,0.18053377366065979,-0.2191108969900406
dpmlm_shap,"{'lambda': 0.5, 'epsilon': 25}",0.8768607456553108,0.9241073285593027,0.552,0.4857892899274609,0.08340845704078674,0.16831421446800232,-0.16207446731819952
dpmlm_shap,"{'lambda': 0.5, 'epsilon': 50}",0.8796860293162546,0.9193842802192649,0.588,0.49381233564083993,0.08052954626083374,0.1533860824108124,-0.12908466381615358
dpmlm_shap,"{'lambda': 0.5, 'epsilon': 100}",0.8950167989015815,0.9249338915053201,0.64,0.47485003821200605,0.07876826333999634,0.14536053705215454,-0.11568372334768717
dpmlm_shap,"{'lambda': 0.5, 'epsilon': 250}",0.8944176775461871,0.9298612314428953,0.704,0.4830884225262029,0.07710670995712281,0.13956208848953247,-0.06533938860714417
