method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
dpmlm_shap,"{'epsilon': 10, 'rho': 0.1}",,0.05866141149459508,0.06030331636956236,0.019851934849023208,0.015748031496062992,0.007874015748031496,0.007936507936507936,0.37933753943217663,2.053983402817096,0.36829652996845424,2.277256436665068,0.2435103260004182,0.5225013798743204,0.8832562026881267,46.408225552050475
dpmlm_shap,"{'epsilon': 25, 'rho': 0.9}",,0.7379660783940281,0.6846855835161834,0.5479297399302256,0.6535433070866141,0.5826771653543307,0.4523809523809524,0.9613564668769716,1.6804563333928786,0.9511041009463722,1.9139371011071828,0.07167391836267165,0.10464008420423754,0.07109117915712225,11.848840250531813
dpmlm_shap,"{'epsilon': 25, 'rho': 0.8}",,0.620323997209142,0.595333537755364,0.42385722470663834,0.5118110236220472,0.49606299212598426,0.3253968253968254,0.942429022082019,1.7347370463296765,0.9274447949526814,1.8791852971658878,0.08598675552978877,0.13024823165466357,0.15947529446829437,18.176178693232323
dpmlm_shap,"{'epsilon': 25, 'rho': 0.7}",,0.5096381145530122,0.4799259117198131,0.32976428843370176,0.3779527559055118,0.36220472440944884,0.24603174603174602,0.8785488958990536,1.8114489569840402,0.8966876971608833,1.8433332898252024,0.10113817768330077,0.1588723535182348,0.25361874506363796,24.915822711653558
dpmlm_shap,"{'epsilon': 25, 'rho': 0.6}",,0.4122807323388663,0.42448882109995634,0.2777538199484167,0.28346456692913385,0.31496062992125984,0.21428571428571427,0.8777602523659306,1.8978899058331886,0.8753943217665615,1.8378658779799772,0.11738716738081129,0.1877678392766402,0.3506684506809407,31.863522884282954
dpmlm_shap,"{'epsilon': 25, 'rho': 0.5}",,0.30764261051482045,0.35195700073594777,0.2341258352812256,0.18110236220472442,0.2440944881889764,0.16666666666666666,0.8564668769716088,1.9447954465124668,0.8225552050473186,1.8106402504110035,0.134206432602383,0.21740758341475616,0.44899534310859757,38.90265569925099
dpmlm_shap,"{'epsilon': 25, 'rho': 0.4}",,0.2130628492319839,0.2744545420946495,0.17123949228949895,0.08661417322834646,0.1889763779527559,0.11904761904761904,0.8186119873817035,1.9541761631541814,0.7452681388012619,1.8390236136345277,0.1522061493870588,0.24877128763012707,0.5477379243992432,45.971547301912175
dpmlm_shap,"{'epsilon': 25, 'rho': 0.3}",,0.17166219933174295,0.22127539827825102,0.12322038708246906,0.05511811023622047,0.12598425196850394,0.07142857142857142,0.6593059936908517,1.948524566698394,0.6853312302839116,1.8571944197384838,0.17012396262083143,0.2819200902472159,0.6453108935467765,52.956707434839146
dpmlm_shap,"{'epsilon': 25, 'rho': 0.2}",,0.12658952336442747,0.1556880561866035,0.0767465595070449,0.047244094488188976,0.06299212598425197,0.03968253968253968,0.5891167192429022,1.9475162799536694,0.5977917981072555,1.8682016609421617,0.189063065200574,0.3166267716264123,0.7410764797386648,59.812478665521915
dpmlm_shap,"{'epsilon': 25, 'rho': 0.1}",,0.09742686662536681,0.12934505073112787,0.05794519905327152,0.031496062992125984,0.06299212598425197,0.031746031746031744,0.527602523659306,2.0066362635177026,0.500788643533123,1.912848009304656,0.20850977132373053,0.3501375090883169,0.8340266325902354,66.46669558359622
