dataset,method,params,split,privacy_exact_mean_reciprocal_rank,privacy_exact_accuracy,privacy_full_mean_reciprocal_rank,privacy_full_accuracy,privacy_more_mean_reciprocal_rank,privacy_more_accuracy,utility_country_acc,utility_country_macro_f1,utility_country_f1,utility_year_acc,utility_year_macro_mae,utility_year_mae,utility_utility_ordinal_raw_mae,utility__utility_ordinal_raw_count,utility_utility_nominal_raw_acc,utility__utility_nominal_raw_count,pseudo_utility_country_acc,pseudo_utility_country_macro_f1,pseudo_utility_country_f1,pseudo_utility_year_acc,pseudo_utility_year_macro_mae,pseudo_utility_year_mae,pseudo_utility_utility_ordinal_raw_mae,pseudo_utility__utility_ordinal_raw_count,pseudo_utility_utility_nominal_raw_acc,pseudo_utility__utility_nominal_raw_count,divergence_bertscore,divergence_cosine,runtime_avg_anon_time_s,utility_country_dummy_strategy,utility_year_dummy_strategy,pseudo_utility_country_dummy_strategy,pseudo_utility_year_dummy_strategy,utility_country_baseline_acc,utility_country_baseline_macro_f1,utility_country_baseline_f1,utility_country_dummy_acc,utility_year_baseline_acc,utility_year_baseline_macro_mae,utility_year_baseline_mae,utility_year_dummy_mae,pseudo_utility_country_baseline_acc,pseudo_utility_country_baseline_macro_f1,pseudo_utility_country_baseline_f1,pseudo_utility_country_dummy_acc,pseudo_utility_year_baseline_acc,pseudo_utility_year_baseline_macro_mae,pseudo_utility_year_baseline_mae,pseudo_utility_year_dummy_mae,divergence_pp,runtime_anon_total_time_s,runtime_anon_texts_processed,runtime_bk_gen_total_time_s,runtime_deid_total_time_s,runtime_risk_total_time_s,runtime_train_total_time_s,runtime_real_anon_total_time_s
tab,dpbart,{'epsilon': 100},,0.051262765186953274,0.015748031496062992,0.0069879937578959305,0.0,0.049930682636585316,0.007874015748031496,0.40930599369085174,0.20660150031378,0.20660150031378,0.21293375394321767,2.0701502228199726,2.0962145110410093,2.083182366930491,2536.0,0.40930599369085174,1268.0,0.2531545741324921,0.18217160209081085,0.18217160209081085,0.13485804416403785,3.194869530146607,3.2397476340694005,3.2173085821080036,2536,0.2531545741324921,1268,0.2146950884008257,0.4327703413644612,3.0269716088328074,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,3838.2,1268.0,0.0,0.0,0.0,0.0,3838.2
tab,dpbart,{'epsilon': 250},,0.07360505772241607,0.031496062992125984,0.014637505358114838,0.0,0.0756211035022668,0.023622047244094488,0.37933753943217663,0.14902764787551823,0.14902764787551823,0.21214511041009465,2.369742986304532,2.3533123028391167,2.361527644571824,2536.0,0.37933753943217663,1268.0,0.31545741324921134,0.24620844331785285,0.24620844331785285,0.16246056782334384,2.6979254619225372,2.745268138801262,2.7215968003618998,2536,0.31545741324921134,1268,0.2024301909121805,0.3855564525638845,3.413785488958991,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,4328.68,1268.0,0.0,0.0,0.0,0.0,4328.68
tab,dpparaphrase,{'epsilon': 10},,0.06385782874864197,0.023622047244094488,0.019973349700174798,0.007936507936507936,0.08454333623550161,0.03937007874015748,0.5291798107255521,0.28432135924447643,0.28432135924447643,0.11198738170347003,2.251146899203985,2.2941640378548898,2.2726554685294373,2536.0,0.5291798107255521,1268.0,0.5181388012618297,0.49979612546649294,0.49979612546649294,0.12697160883280756,3.5180654042499064,3.4897476340694005,3.5039065191596537,2536,0.5181388012618297,1268,0.2749500231881999,0.6040945363639375,11.587358044164038,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,14692.77,1268.0,0.0,0.0,0.0,0.0,14692.77
tab,dpparaphrase,{'epsilon': 25},,0.061645182791642356,0.015748031496062992,0.015108272894661073,0.0,0.07358967960919192,0.015748031496062992,0.4313880126182965,0.18206362357149433,0.18206362357149433,0.1056782334384858,2.3000997031809076,2.3446372239747633,2.3223684635778357,2536.0,0.4313880126182965,1268.0,0.5378548895899053,0.5192078666374916,0.5192078666374916,0.12302839116719243,3.5350630999909067,3.501577287066246,3.518320193528576,2536,0.5378548895899053,1268,0.2739570086310715,0.5990549307081507,14.13653785488959,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,17925.13,1268.0,0.0,0.0,0.0,0.0,17925.13
tab,dpparaphrase,{'epsilon': 50},,0.06199650428320769,0.015748031496062992,0.01956747698503728,0.0,0.0905205993532008,0.03937007874015748,0.47397476340694006,0.2094700624169603,0.2094700624169603,0.12933753943217666,2.225311410495758,2.2705047318611986,2.2479080711784785,2536.0,0.47397476340694006,1268.0,0.5165615141955836,0.49085478972745616,0.49085478972745616,0.1332807570977918,3.5656283449415205,3.52602523659306,3.5458267907672902,2536,0.5165615141955836,1268,0.2684316583894405,0.5886657752554969,14.246971608832807,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,18065.16,1268.0,0.0,0.0,0.0,0.0,18065.16
tab,dpparaphrase,{'epsilon': 100},,0.07660408691031267,0.023622047244094488,0.01869463385990282,0.0,0.09862081061657119,0.031496062992125984,0.42981072555205047,0.1799287177063642,0.1799287177063642,0.09069400630914827,2.2059115276000507,2.2570977917981074,2.231504659699079,2536.0,0.42981072555205047,1268.0,0.5473186119873817,0.5144036864232352,0.5144036864232352,0.13170347003154576,3.681134552997599,3.639589905362776,3.6603622291801874,2536,0.5473186119873817,1268,0.25587325808753725,0.5767119860258952,14.349637223974764,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,18195.34,1268.0,0.0,0.0,0.0,0.0,18195.34
tab,dpparaphrase,{'epsilon': 250},,0.12233380034258846,0.05511811023622047,0.032867673498598496,0.007936507936507936,0.112857893597224,0.047244094488188976,0.3722397476340694,0.13826883546890192,0.13826883546890192,0.10173501577287067,2.2059199705670913,2.2610410094637223,2.233480490015407,2536.0,0.3722397476340694,1268.0,0.471608832807571,0.4409564549350122,0.4409564549350122,0.14511041009463724,2.9736413807371163,2.9605678233438484,2.9671046020404823,2536,0.471608832807571,1268,0.23989395477606296,0.5710473046153314,11.536246056782334,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,14627.96,1268.0,0.0,0.0,0.0,0.0,14627.96
tab,dpprompt,{'epsilon': 10},,0.038651609216754944,0.0,0.006358178985058607,0.0,0.03925196590348219,0.0,0.32991318074191,0.08269040553907023,0.08269040553907023,0.11286503551696922,2.2029285679047907,2.2675611681136543,2.2352448680092225,2536.0,0.32991318074191,1268.0,0.1468034727703236,0.060249632892804696,0.060249632892804696,0.11602209944751381,3.9152896286919616,3.865824782951855,3.8905572058219082,2536,0.1468034727703236,1268,0.29346098740832866,0.8370056300892273,14.938036277602524,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,18941.43,1268.0,0.0,0.0,0.0,0.0,18941.43
tab,dpprompt,{'epsilon': 25},,0.04481143682245943,0.0,0.00928182666184177,0.0,0.05594485982632253,0.015748031496062992,0.330173775671406,0.08273950910530482,0.08273950910530482,0.09794628751974724,2.2133362791015063,2.2859399684044233,2.249638123752965,2536.0,0.330173775671406,1268.0,0.16903633491311215,0.09113538000828371,0.09113538000828371,0.12717219589257503,3.676730152857446,3.637440758293839,3.6570854555756425,2536,0.16903633491311215,1268,0.2839882642171959,0.8220017093820806,7.255417981072556,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,9199.87,1268.0,0.0,0.0,0.0,0.0,9199.87
tab,dpprompt,{'epsilon': 50},,0.1237491421393349,0.06299212598425197,0.09652503574342386,0.07142857142857142,0.16407100405638125,0.09448818897637795,0.3557312252964427,0.11717468325516454,0.11717468325516454,0.1225296442687747,2.1006969887056464,2.166798418972332,2.133747703838989,2536.0,0.3557312252964427,1268.0,0.4126482213438735,0.40681143809839115,0.40681143809839115,0.14703557312252966,2.5442609115393298,2.5731225296442686,2.5586917205917996,2536,0.4126482213438735,1268,0.20917289855451923,0.7926682852923671,0.3756309148264984,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,476.3,1268.0,0.0,0.0,0.0,0.0,476.3
