method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
dpmlm_shap,"{'epsilon': 25, 'rho': 0.7}",,0.4397761049021757,0.3287297421155689,0.8785488958990536,0.8966876971608833,0.1300052656007678,0.1300052656007678,24.915822711653558,0.3632628252659031,0.38986857212240117
dpmlm_shap,"{'epsilon': 25, 'rho': 0.6}",,0.3715077911290798,0.2709036370453693,0.8777602523659306,0.8753943217665615,0.15257750332872574,0.15257750332872574,31.863522884282954,0.40938140050090005,0.46656306321411456
dpmlm_shap,"{'epsilon': 25, 'rho': 0.5}",,0.2979084821773313,0.19728783902012248,0.8564668769716088,0.8225552050473186,0.17580700800856958,0.17580700800856958,38.90265569925099,0.4655377905787425,0.5285586621122743
dpmlm_shap,"{'epsilon': 25, 'rho': 0.4}",,0.21958562787204414,0.13154605674290712,0.8186119873817035,0.7452681388012619,0.20048871850859293,0.20048871850859293,45.971547301912175,0.5088876364601083,0.5791562647144332
dpmlm_shap,"{'epsilon': 25, 'rho': 0.3}",,0.17205266156415433,0.08417697787776528,0.6593059936908517,0.6853312302839116,0.2260220264340237,0.2260220264340237,52.956707434839146,0.49663260037879314,0.4718986905632774
dpmlm_shap,"{'epsilon': 25, 'rho': 0.2}",,0.11967471301935861,0.04997292005166021,0.5891167192429022,0.5977917981072555,0.25284491841349316,0.25284491841349316,59.812478665521915,0.5062151062971932,0.4603243012732627
dpmlm_shap,"{'epsilon': 25, 'rho': 0.1}",,0.09490570546992207,0.042078073574136565,0.527602523659306,0.500788643533123,0.27932364020602374,0.27932364020602374,66.46669558359622,0.456884095675079,0.42618944317819374
dpmlm_shap,{'epsilon': 50},,0.17052142226250652,0.09465483481231513,0.6159305993690851,0.580441640378549,0.23931018883003985,0.23931018883003985,41.94092271293375,0.44636424619938736,0.42974217466245845
dpmlm_shap,"{'epsilon': 50, 'k': 2}",,0.5754363230444448,0.388618089405491,0.917192429022082,0.8935331230283912,0.10827730773516257,0.10827730773516257,23.804604604434395,0.20590438972724456,0.2749843938794495
dpmlm_shap,"{'epsilon': 50, 'k': 2}",test,0.528470084223944,0.29133858267716534,,0.889763779527559,0.16852172091086323,,,,
dpmlm_shap,"{'epsilon': 50, 'k': 3}",,0.5107426011218766,0.341373994917302,0.8974763406940063,0.8761829652996845,0.11915839941766736,0.11915839941766736,28.718491601365812,0.3099275578128064,0.32846727193502334
dpmlm_shap,"{'epsilon': 50, 'k': 3}",test,0.4246941705377367,0.24409448818897636,,0.8818897637795275,0.23579153036689357,,,,
dpmlm_shap,"{'epsilon': 50, 'k': 5}",,0.435582363114525,0.2810273715785527,0.8753943217665615,0.8564668769716088,0.13133189076269838,0.13133189076269838,34.11439853958723,0.35882753227025405,0.39143662453572364
dpmlm_shap,"{'epsilon': 50, 'k': 5}",test,0.35698735405462845,0.21259842519685038,,0.84251968503937,0.29872916082904843,,,,
dpmlm_shap,"{'epsilon': 50, 'k': 7}",,0.40278420302983853,0.2521768112319293,0.8722397476340694,0.8430599369085173,0.13793939001834732,0.13793939001834732,37.00103211348912,0.37769458001213896,0.4254740602896273
dpmlm_shap,"{'epsilon': 50, 'k': 7}",test,0.3218944871687901,0.19685039370078738,,0.84251968503937,0.3541185286705449,,,,
dpmlm_shap,"{'epsilon': 50, 'k': 10}",,0.3649090390312528,0.22330542015581387,0.8651419558359621,0.8288643533123028,0.1453906284756841,0.1453906284756841,39.967068620537525,0.40440476069168785,0.4612840703897434
dpmlm_shap,"{'epsilon': 50, 'k': 10}",test,0.3057542029706077,0.19685039370078738,,0.8267716535433071,0.40553037620412674,,,,
dpmlm_shap,"{'epsilon': 50, 'lambda': 0.99}",,0.6715108444414444,0.5813648293963255,0.9700315457413249,0.9526813880126183,0.08244809411959693,0.08244809411959693,8.708361960678015,0.10501442384528954,0.2194001659615581
dpmlm_shap,"{'epsilon': 50, 'lambda': 0.98}",,0.6159694382946034,0.5208723909511311,0.9597791798107256,0.9321766561514195,0.0893910840999817,0.0893910840999817,10.427457755424811,0.12009236053597568,0.27207110296110093
dpmlm_shap,"{'epsilon': 50, 'lambda': 0.95}",,0.5421615385669853,0.43667458234387374,0.8541009463722398,0.7917981072555205,0.10510859349360602,0.10510859349360602,11.59962688080585,0.18730270043764374,0.24890842507887767
dpmlm_shap,"{'epsilon': 50, 'lambda': 0.9}",,0.5171926289093045,0.40776152980877384,0.7697160883280757,0.6837539432176656,0.11575847450491006,0.11575847450491006,12.061435919001287,0.08208220580504233,0.1918560261059059
dpmlm_shap,"{'epsilon': 50, 'lambda': 0.8}",,0.4978083555962465,0.3946173394992292,0.7310725552050473,0.6585173501577287,0.11941538647710337,0.11941538647710337,12.37320189274448,0.102245778772233,0.17475331383624204
dpmlm_shap,"{'epsilon': 50, 'rho': 0.9}",,0.6534053605717681,0.5549514644002833,0.9518927444794952,0.9511041009463722,0.08709090948104858,0.08709090948104858,13.368752169167465,0.11431001041261164,0.22159607659932323
dpmlm_shap,"{'epsilon': 50, 'rho': 0.8}",,0.5637716064758346,0.4628796400449944,0.9550473186119873,0.9250788643533123,0.10366077548368871,0.10366077548368871,21.323667831174422,0.2379569807036567,0.32653328152404637
dpmlm_shap,"{'epsilon': 50, 'rho': 0.7}",,0.5011329384472241,0.3971170270382869,0.9148264984227129,0.9029968454258676,0.12032549379375831,0.12032549379375831,29.555398032841662,0.27704742631638557,0.35693323187726633
dpmlm_shap,"{'epsilon': 50, 'rho': 0.6}",,0.4368592432311888,0.33395825521809774,0.887223974763407,0.8793375394321766,0.13654092231571485,0.13654092231571485,37.826938777265696,0.3050818388427064,0.4019584841871876
dpmlm_shap,"{'epsilon': 50, 'rho': 0.5}",,0.3843686496894419,0.27606965795942173,0.8777602523659306,0.8430599369085173,0.1523606167277703,0.1523606167277703,46.00464472408932,0.38611513687689686,0.451964474200729
dpmlm_shap,"{'epsilon': 50, 'rho': 0.4}",,0.3296636375795511,0.22347206599175104,0.861198738170347,0.807570977917981,0.16784748664178684,0.16784748664178684,54.050656717157146,0.39872470734986315,0.49730132869540783
dpmlm_shap,"{'epsilon': 50, 'rho': 0.3}",,0.3070903629497971,0.20516185476815396,0.8343848580441641,0.7618296529968455,0.18362333241274303,0.18362333241274303,61.94564389005603,0.4147035363181278,0.4957897774245585
dpmlm_shap,"{'epsilon': 50, 'rho': 0.2}",,0.27726938431129605,0.1814981460650752,0.7665615141955836,0.7208201892744479,0.20040609751613547,0.20040609751613547,69.67783845932051,0.40771554966280915,0.4610048246806448
dpmlm_shap,"{'epsilon': 50, 'rho': 0.1}",,0.2001940355238715,0.11309003041286507,0.7121451104100947,0.6719242902208202,0.2187506303144178,0.2187506303144178,77.29978706624605,0.46323777529407684,0.49342658507235804
dpmlm_shap,{'epsilon': 100},,0.23031600040796776,0.14202391367745698,0.7815457413249212,0.6884858044164038,0.20850126274306127,0.20850126274306127,89.30107255520504,0.4933428839883553,0.5294660521760827
dpmlm_shap,"{'epsilon': 100, 'k': 2}",,0.5935741929292475,0.42275965504311963,0.9037854889589906,0.8974763406940063,0.10866810064116486,0.10866810064116486,35.525250444279635,0.18749334751545765,0.24082833742191512
dpmlm_shap,"{'epsilon': 100, 'k': 2}",test,0.5450613710429766,0.3188976377952756,,0.889763779527559,0.18452643102047964,,,,
dpmlm_shap,"{'epsilon': 100, 'k': 3}",,0.5332565617909459,0.3781610632004333,0.8769716088328076,0.8848580441640379,0.11797121254145534,0.11797121254145534,43.07799975906055,0.2509801783620553,0.2821610757182682
dpmlm_shap,"{'epsilon': 100, 'k': 3}",test,0.46843480949371585,0.2992125984251969,,0.858267716535433,0.252501295688869,,,,
