method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
dpmlm_shap,"{'epsilon': 25, 'k': 5}",,0.510964603328508,0.518107461587507,0.15540494514887665,0.3700787401574803,0.2992125984251969,0.023809523809523808,0.8761829652996845,1.8532860966265774,0.8414826498422713,1.8271816424632386,0.10748609402202282,0.16931201374211147,0.2979690387406694,33.502927034322795
dpmlm_shap,"{'epsilon': 25, 'k': 7}",,0.4697879384641275,0.43282996390992956,0.11384863881261033,0.33070866141732286,0.2047244094488189,0.023809523809523808,0.8588328075709779,1.9436622875613547,0.8257097791798107,1.8084490879815442,0.11366036712935294,0.18036246971941144,0.33154578109610156,36.516520616760616
dpmlm_shap,"{'epsilon': 25, 'k': 10}",,0.4207257879851286,0.3337395093076638,0.0851950369078577,0.2755905511811024,0.11023622047244094,0.023809523809523808,0.8493690851735016,1.9038624459215534,0.8123028391167192,1.8060688131652751,0.11890780968056869,0.18985758418634488,0.35981216100395186,39.053496365846826
dpmlm_shap,"{'epsilon': 50, 'k': 2}",,0.6525198832427186,0.7130920054857054,0.36069708040491033,0.5354330708661418,0.5669291338582677,0.06349206349206349,0.917192429022082,1.826235447695392,0.8935331230283912,1.879576502004967,0.08900539624014112,0.12754921923018403,0.20392191357336728,23.804604604434395
dpmlm_shap,"{'epsilon': 50, 'k': 3}",,0.6115826742835624,0.6523711473171142,0.2682739817649535,0.4881889763779528,0.47244094488188976,0.06349206349206349,0.8974763406940063,1.707877862370449,0.8761829652996845,1.8493418910450419,0.09771002532931908,0.14060677350601564,0.26270996568257987,28.718491601365812
dpmlm_shap,"{'epsilon': 50, 'k': 5}",,0.5574243822446732,0.5568060096259925,0.19251669747290917,0.4251968503937008,0.3464566929133858,0.07142857142857142,0.8753943217665615,1.7831072967466075,0.8564668769716088,1.8651884697727685,0.10797450402369635,0.15468927750170042,0.3272647384029769,34.11439853958723
dpmlm_shap,"{'epsilon': 50, 'k': 7}",,0.5441790799147755,0.49323270628890986,0.1709408228858301,0.41732283464566927,0.25984251968503935,0.07936507936507936,0.8722397476340694,1.8437328122269423,0.8430599369085173,1.8561281583718279,0.1136502481127387,0.16222853192395592,0.3617994285716192,37.00103211348912
dpmlm_shap,"{'epsilon': 50, 'k': 10}",,0.4988076705957985,0.4376493133039421,0.15827013319401786,0.3700787401574803,0.2204724409448819,0.07936507936507936,0.8651419558359621,1.8735984043053155,0.8288643533123028,1.8619827812038652,0.11972408198783827,0.17105717496352993,0.39728406809285277,39.967068620537525
dpmlm_shap,"{'epsilon': 100, 'k': 2}",,0.6644835842539824,0.7478640176798331,0.368374976853927,0.5590551181102362,0.6377952755905512,0.07142857142857142,0.9037854889589906,1.7631292889814543,0.8974763406940063,1.9154800579232374,0.0907962449153515,0.12653995636697823,0.22119924788140952,35.525250444279635
dpmlm_shap,"{'epsilon': 100, 'k': 3}",,0.6134190791592243,0.7019322591496496,0.2844183470639638,0.49606299212598426,0.5590551181102362,0.07936507936507936,0.8769716088328076,1.7613044769672097,0.8848580441640379,1.9000049489661734,0.09942571423971315,0.13651671084319755,0.2792774036470696,43.07799975906055
